Unnamed: 0,time,type,chap,detaT
96039,2014-10-16 19:05:53,page_close,chap2,8
96042,2014-10-16 19:05:57,page_close,chap2,8
96043,2014-10-16 19:06:06,problem_check,chap2,8
96044,2014-10-16 19:06:09,problem_show,chap2,8
96045,2014-10-16 19:06:15,page_close,chap2,8
96058,2014-10-16 19:07:46,page_close,chap3,1
96059,2014-10-16 19:07:46,video_event,chap3,1
96067,2014-10-16 19:10:41,page_close,chap3,1
96068,2014-10-16 19:10:41,video_event,chap3,1
96069,2014-10-16 19:11:01,page_close,chap3,1
96070,2014-10-16 19:11:01,video_event,chap3,1
96091,2014-10-16 19:15:01,page_close,chap3,1
96092,2014-10-16 19:15:01,video_event,chap3,1
97146,2014-10-16 21:34:38,page_close,chap3,1
97147,2014-10-16 21:34:43,page_close,chap3,1
97247,2014-10-16 21:44:50,problem_check,chap3,1
97248,2014-10-16 21:44:56,problem_check,chap3,1
97249,2014-10-16 21:44:59,page_close,chap3,1
97250,2014-10-16 21:45:00,video_event,chap3,1
97291,2014-10-16 21:50:31,problem_check,chap3,1
97294,2014-10-16 21:50:44,problem_check,chap3,1
97297,2014-10-16 21:50:50,page_close,chap3,1
97298,2014-10-16 21:50:50,video_event,chap3,1
97386,2014-10-16 21:58:18,problem_check,chap3,1
97387,2014-10-16 21:58:32,problem_check,chap3,1
97389,2014-10-16 21:58:38,page_close,chap3,1
97390,2014-10-16 21:58:38,video_event,chap3,1
97713,2014-10-16 22:42:38,problem_check,chap3,1
97716,2014-10-16 22:43:15,problem_check,chap3,1
97719,2014-10-16 22:43:18,problem_show,chap3,1
97722,2014-10-16 22:43:21,page_close,chap3,1
97723,2014-10-16 22:43:21,video_event,chap3,1
97724,2014-10-16 22:43:25,page_close,chap3,1
97727,2014-10-16 22:44:11,page_close,chap3,1
98777,2014-10-17 9:48:02,page_close,chap3,2
98795,2014-10-17 9:52:34,page_close,chap3,2
98797,2014-10-17 9:52:55,problem_check,chap3,2
98798,2014-10-17 9:52:59,problem_check,chap3,2
98800,2014-10-17 9:53:07,page_close,chap3,2
120390,2014-10-21 0:03:18,page_close,chap3,5
120391,2014-10-21 0:03:18,video_event,chap3,5
120400,2014-10-21 0:04:48,page_close,chap3,5
120401,2014-10-21 0:04:48,video_event,chap3,5
120410,2014-10-21 0:09:09,problem_show,chap3,5
120416,2014-10-21 0:09:44,page_close,chap3,5
120417,2014-10-21 0:09:44,video_event,chap3,5
120427,2014-10-21 0:11:23,page_close,chap3,5
120436,2014-10-21 0:12:18,page_close,chap3,5
120437,2014-10-21 0:12:18,video_event,chap3,5
120466,2014-10-21 0:14:33,page_close,chap3,5
120467,2014-10-21 0:14:33,video_event,chap3,5
119900,2014-10-21 22:49:36,page_close,chap3,6
120087,2014-10-21 23:22:56,page_close,chap2,13
120088,2014-10-21 23:22:56,video_event,chap2,13
120092,2014-10-21 23:23:09,problem_show,chap2,13
120107,2014-10-21 23:25:26,page_close,chap2,13
120108,2014-10-21 23:25:26,video_event,chap2,13
120138,2014-10-21 23:31:36,page_close,chap2,13
120139,2014-10-21 23:31:36,video_event,chap2,13
120234,2014-10-21 23:43:31,page_close,chap2,13
120235,2014-10-21 23:43:31,video_event,chap2,13
120247,2014-10-21 23:44:05,page_close,chap2,13
120248,2014-10-21 23:44:05,video_event,chap2,13
120258,2014-10-21 23:44:52,page_close,chap2,13
125104,2014-10-22 21:46:07,problem_check,chap2,14
